Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page
"2514 vaperů navštívilo tento web za posledních 7 dní
✓ ověřeno od Notifikuj
x";;Social Proof;Activity Message;Product detail;??;https://www.novacig.cz/joyetech-ex-hlava-nahradni-atomizer-pro-radu-exceed
482 lidí navštívilo tento web za posledních 7 dní;;Social Proof;Activity Message;Product detail;??;https://www.memoa.cz/pece-o-vlasy/keratinova-maska-na-vlasy-s-kofeinem-vivapharm-200-ml/
389 návštěvníků navštívilo tento web za posledních 24 hod.;;Social Proof;Activity Message;Product detail;??;https://nakoplast.cz/obchod/nadrz-na-destovou-vodu-ecotank-300-l-viko/
Za posledních 5 dní si tento produkt prohlédlo 73 zákazníků;;Social Proof;Activity Message;Product detail;??;https://www.odkarla.cz/deskova-hra-hasbro-gaming-flottenmanover
"117 lidí navštívilo tento web za posledních 24 hod.
✓ ověřeno od Notifikuj
x";;Social Proof;Activity Message;Product detail;??;https://www.maxidilna.cz/baterie-termostaticka-sprchova-univerzalni-100mm-keramicky-ventil-chrom-VITTORIA-d57042.htm
"482 lidí navštívilo tento web za posledních 7 dní
✓ ověřeno od Notifikuj
x";;Social Proof;Activity Message;Product detail;??;https://www.memoa.cz/pece-o-vlasy/keratinova-maska-na-vlasy-s-kofeinem-vivapharm-200-ml/
122 lidí navštívilo tento web za posledních 7 dní;;Social Proof;Activity Message;Product detail;??;https://www.lopra.cz/p/7020928-francouzske-povleceni-saten-220x200-70x90cm-sonet-bordo-vyber-zapinani-zipovy-uzaver
"1944 lidí navštívilo tento web za posledních 30 dní
✓ ověřeno od Notifikuj
x";;Social Proof;Activity Message;Product detail;??;https://www.trpajzlik.cz/Detske-body-fandim-SK-Slavia-Praha-d680.htm
37203 kutilů navštívilo tento web za posledních 30 dní;;Social Proof;Activity Message;Product detail;??;https://www.walteco.cz/trojita-police-rusticline/
"317 lidí navštívilo tento web za posledních 7 dní
✓ ověřeno od Notifikuj
x";;Social Proof;Activity Message;Product detail;??;https://www.new-you-mode.cz/https/www-new-you-mode-cz/numoco-damske-saty-a13-91-kvety-d149-htm
118 lidí navštívilo tento web za posledních 24 hod.;;Social Proof;Activity Message;Product detail;??;https://www.sanitcare.cz/antigenni-rapid-test-ze-slin-na-covid-19--rapid-for/
"Unikátní VÝPRODEJ -70%. Ihned k odeslání. Nepropásněte ho.
CHCI POSLEDNÍ KUSY -70%
✓ Notifikuj
x";;Scarcity;Low-stock Message;Product detail;??;https://www.sasoo.cz/mikiny-teplakove-soupravy-mikina-damska-delmari-c17-p1007605166-v51359.htm?param[seq]=0
"7563× byl zobrazen tento web za posledních 7 dní
✓ ověřeno od Notifikuj
x";;Social Proof;Activity Message;Product detail;??;https://www.clipinhair.cz/9-clip-in-vlasy-k-prodlouzeni-remy-100-lidske-53cm-100g-prirodni-svetlejsi-blond.html
"1190× byl zobrazen tento web za posledních 24 hod.
✓ ověřeno od Notifikuj
x";;Social Proof;Activity Message;Product detail;??;https://www.triko4u.cz/damske-tricko-s-dlouhym-rukavem-interlock
2299× byl zobrazen tento web za posledních 24 hod.;;Social Proof;Activity Message;Product detail;??;https://www.produm.eu/kuchynske-potreby/vareni/prkenka-krajeci/prkenko-krajeci-38x14-cm-drevo___4263095
7563× byl zobrazen tento web za posledních 7 dní;;Social Proof;Activity Message;Product detail;??;https://www.clipinhair.cz/9-clip-in-vlasy-k-prodlouzeni-remy-100-lidske-53cm-100g-prirodni-svetlejsi-blond.html
"Akce trvá pouze:
90 hod 00 min 49 sek";Resets after a period of time;Urgency;Countdown Timer;Product detail;Yes;https://www.tmnabytek.cz/produkt/gaa-meble/prowansja/komoda-prowansja
"Do konce akce zbývá:

10h 4m 26s";The discount remains after the timer is gone;Urgency;Countdown Timer;Product detail;Yes;https://www.astratex.cz/damske-bezove-triko-s-kratkym-rukavem-pointelle-crop/
Končí za:5 d : 06h : 32min. : 02s;;Urgency;Countdown Timer;Product detail;No;https://consumer.huawei.com/cz/accessories/?type=tablet-accessories
197d 08h 49m 34s;The discount remains after the timer is gone;Urgency;Countdown Timer;Product detail;Yes;https://jaknaauto.cz/Produkty/LETO-C10120/SHERON-Letni-ostrikovac-4-lt-Lady-+-nal---P28041/
Pokud nakoupíte ještě alespoň za 4 609,00 CZK budete mít dopravu zdarma.;;Misdirection;Pressured Selling;Cart Page;No;http://www.led-elektronika.cz/?action=detail&id=ID34480&catg=0
Pokud nakoupíte ještě alespoň za 1 125,00 CZK budete mít dopravu zdarma.;;Misdirection;Pressured Selling;Cart Page;No;http://www.thecrystal.cz/?action=detail&id=ID26&catg=10
Pokud nakoupíte ještě alespoň za 2 980,00 CZK budete mít dopravu zdarma.;;Misdirection;Pressured Selling;Cart Page;No;https://www.svet-textilu.cz/?action=detail&id=ID10640&catg=0
Pokud nakoupíte ještě alespoň za 3 963,00 CZK budete mít dopravu zdarma.;;Misdirection;Pressured Selling;Cart Page;No;http://www.textilnidoplnky.cz/?action=detail&id=ID160&catg=21
Poslední kus skladem  21. 6. 2021 u vás;;Scarcity;Low-stock Message;Product detail;No;https://www.odkarla.cz/deskova-hra-hasbro-gaming-flottenmanover
Za posledních 5 dní si tento produkt prohlédlo 78 zákazníků;In a combination with Urgency from the same page;Scarcity;High-demand Message;Product detail;No;https://www.odkarla.cz/deskova-hra-hasbro-gaming-flottenmanover
Nakupte ještě za 2 785,12 CZK bez DPH a máte dopravu ZDARMA;;Misdirection;Pressured Selling;Product detail;No;https://www.mujboardshop.cz/Rozcestnik-snur-PLKB-k-barum-Navigator-V5-6-a-Commander-d703.htm
Chcete dopravu zdarma hned? Vyberte si ze zlevněného zboží;;Misdirection;Pressured Selling;Product detail;No;https://www.samostatne-dite.cz/nabytek/set-stolecek-a-zidlicka-kostka-3v1-prirodni/
Nakupte ještě za 710 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.desami.cz/kousatko/silikonove-kousatko-mickey-sparta/
Objednejte ještě za 980 Kč a budete mít dopravu ZDARMA;;Misdirection;Pressured Selling;Product detail;No;https://www.desami.cz/kousatko/silikonove-kousatko-mickey-sparta/
Objednejte ještě za 926 Kč a budete mít dopravu ZDARMA.;;Misdirection;Pressured Selling;Product detail;No;https://www.eshopflocker.cz/valley-softshellova-bunda-damska/
Nakupte ještě za 926 Kč a získejte 3% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.eshopflocker.cz/valley-softshellova-bunda-damska/
Objednejte ještě za 1 201 Kč a budete mít dopravu ZDARMA.;;Misdirection;Pressured Selling;Product detail;No;https://www.hospodynkam.cz/smes-na-duhovy-dort-rainbow-600g/
Nakupte ještě za 702 Kč a získejte 1% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.hospodynkam.cz/smes-na-duhovy-dort-rainbow-600g/
Nakupte ještě za 360 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.cannaworld-seeds.cz/cbg-cbd-olej-original-10-5--cbg-5--cbd-1000mg--10-ml-iamcbd/
Nezasílat dotazník spokojenosti v rámci programu Ověřeno zákazníky;;Misdirection;Trick Questions;Checkout Process;No;https://www.cannaworld-seeds.cz/objednavka/krok-2/
Objednejte ještě za 1 716 Kč a budete mít dopravu ZDARMA.;;Misdirection;Pressured Selling;Cart Page;No;https://www.shadowbazar.cz/kosik/
Nakupte ještě za 716 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured Selling;Cart Page;No;https://www.shadowbazar.cz/kosik/
Do dopravy zdarma stačí nakoupit ještě za: 11 335 Kč;;Misdirection;Pressured Selling;Product detail;No;https://www.abecedaobkladu.cz/obklady-opoczno/opoczno-artistic-way/artistic-way-white-structure-25x75-5935.html
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://www.abecedaobkladu.cz/objednavka/krok-2/
Do dopravy zdarma stačí nakoupit ještě za: 2 354 Kč;;Misdirection;Pressured selling;Product detail;No;https://www.abanesa.cz/zbozi/mirabela-cerstva-kava-costa-rica-tarrazu-100-arabika-225g-764.html
"
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby.";;Misdirection;Trick Questions;Checkout Process;No;https://www.abanesa.cz/objednavka/krok-2/
Pro získání slevy 5% stačí nakoupit ještě za 731 Kč;;Misdirection;Pressured selling;Cart Page;No;https://www.epostape.cz/kinezioepostape-hedvabi-5-cm-x-5-m-tmave-modra
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://www.epostape.cz/kosik?krok=4&_fid=h92k
 Nesouhlasím se zasláním dotazníku hodnocení obchodů Zboží.cz, který pomáhá zlepšovat vaše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://www.epostape.cz/kosik?krok=4&_fid=h92k
Nesouhlasím se zasíláním obchodních sdělení.;;Misdirection;Trick Questions;Checkout Process;No;https://www.epostape.cz/kosik?krok=4&_fid=h92k
Nakupte ještě za 3 510 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured selling;Checkout Process;No;http://www.pharma-performance.cz/pokladna
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby.;;Misdirection;Trick Questions;Checkout Process;No;http://www.pharma-performance.cz/pokladna
Nakupte ještě za 1 991 Kč a budete mít poštovné zdarma.;;Misdirection;Pressured selling;Product detail;No;https://www.naau.cz/ffp2-respiratory/10011165-filtracni-maska-tridy-2-nr-zhishan-10217-1-ks-bila.html
Nakupte ještě za 1 701 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured selling;Checkout Process;No;https://www.hubatacernoska.cz/pokladna
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat naše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://www.hubatacernoska.cz/pokladna
Nakupte ještě za 1 904 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured selling;Checkout Process;No;https://eshop.gmtechnik.cz/pokladna
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://eshop.gmtechnik.cz/pokladna
"Nakupte ještě za 1 965 Kč a získejte
poštovné zdarma!";;Misdirection;Pressured selling;Checkout Process;No;https://www.tutto-italiano.cz/Eshop/order/
Neplaťte poštovné! Přidejte 659 Kč a máte je zdarma.;;Misdirection;Pressured selling;Product detail;No;https://www.manutea.cz/zeleny-rooibos-rakytnik-guava-x1667
Nakupte ještě za 3 001 Kč a mějte poštovné a balné zdarma.;;Misdirection;Pressured selling;Cart Detail;No;https://www.gazzasport.cz/kosik/?idAdd=15536&idSubAdd=83508&cast=add
Nakupte ještě za 1 850 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured selling;Cart Detail;No;https://www.bio-colostrum.cz/pokladna
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby.;;Misdirection;Trick Questions;Cart Detail;No;https://www.bio-colostrum.cz/pokladna
Zbývá nakoupit zboží za 2 914 Kč k dosažení poštovného v ČR ZDARMA.;;Misdirection;Pressured selling;Product detail;No;https://www.alfa-leky.cz/4024773016910-clotrimazol-al-1-crm-1x20g-1
Abyste nehradili poštovné zbývá nakoupit za 3 002 Kč.;;Misdirection;Pressured selling;Cart Detail;No;http://www.motocomponents.cz/kosik/
Abyste neplatili za poštovné, je třeba objednat ještě za 8 850 Kč;;Misdirection;Pressured selling;Cart Detail;No;https://www.kvalitnepodlahy.cz/kosik/
Do poštovného zdarma Vám chybí 422 Kč;;Misdirection;Pressured selling;Product detail;No;https://www.revolutionhair.cz/e-shop/34735-alfaparf-rucnik-semi-di-lino-curls-smooth-60x96-cm
Nakupte ještě za 1 247 Kč a získáte poštovné zdarma.;;Misdirection;Pressured selling;Cart Detail;No;https://cista-priroda.cz/kosik?action=show
Zbývá nakoupit za3 431,00 Kč bez DPHa můžete mít poštovné zdarma;;Misdirection;Pressured selling;Product detail;No;https://www.lynxtep.cz/brw-kirsten-rohova-sedaci-souprava-oboustranna-soro-90-svetle-seda
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby;;Misdirection;Trick Questions;Checkout Process;No;https://www.lynxtep.cz/objednavka-2
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://www.printprofi.cz/pokladna
Nakupte ještě za 601 Kč pro poštovné zdarma!;;Misdirection;Pressured selling;Product detail;No;https://www.printprofi.cz/lexmark-12a1985-85-color-tribarevna?sort=availability&dir=down
Nakupte ještě za 1 811 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured selling;Checkout Process;No;https://www.narextools.cz/pokladna
Abyste neplatili za poštovné, je třeba objednat ještě za 711,00 Kč.;;Misdirection;Pressured selling;Cart Detail;No;https://www.profi-pedikura.cz/kosik/
Nesouhlasím se zasláním krátkého dotazníku spokojenosti (program Ověřeno zákazníky) po 10 dnech od objednávky, prostřednictvím emailové zprávy.;;Misdirection;Trick Questions;Checkout Process;No;https://www.profi-pedikura.cz/objednavka/
Zbývá nakoupit za1 938,00 Kč bez DPHa můžete mít poštovné zdarma;;Misdirection;Pressured selling;Product detail;No;https://www.smoketrade.cz/originalni-plyn-do-zapalovacu-zippo-250ml
Nakupte ještě za 3 811,-Kč a získejte poštovné a balné zdarma.;;Misdirection;Pressured Selling;Product detail;No;https://www.svetceskehonabytku.cz/loznice/matrace/matrace-lima.htm
Ještě vložte zboží za 1 952 Kč a budete mít poštovné zdarma!;;Misdirection;Pressured Selling;Product detail;No;http://www.neomag.cz/shopping_cart.php?id_lang=CZ&PHPSESSID=1jf45nvrl67s4101iuokpu2ai3
Zbývá nakoupit za1 850,00 Kč s DPHa můžete mít poštovné zdarma;;Misdirection;Pressured Selling;Product detail;No;https://www.vojenskyprodej.cz/detska-flisova-bunda-barva-limetky-hrejiva-mikina-s-celopropinacim-zipem
Nakupte ještě za 2 835 Kč pro poštovné a balné zdarma.;;Misdirection;Pressured Selling;Checkout Process;No;https://www.motocheb.cz/pokladna
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://www.motocheb.cz/pokladna
Zbývá nakoupit zboží za 1 871 Kč k dosažení poštovného v ČR ZDARMA.;;Misdirection;Pressured Selling;Product detail;No;https://www.lekarna-oaza.cz/3470417-livsane-test-tehotensky-cz-rychla-detekce-2ks
Nakupte ještě za 1 673 Kč, poštovné budete mít po ČR ZDARMA.;;Misdirection;Pressured Selling;Product detail;No;https://eshop.ziskejzdravi.cz/dejiny-zla-vrcholi-varovani-tri-andelu--adventime/
Nakupte ještě za 1 101,- Kč a získejte poštovné a balné zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.pilsenyoyo.cz/kosik/?cast=add
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Heureka Ověřeno zákazníky a předáním údajů za účelem nezávislého hodnocení nákupu.;;Misdirection;Trick Questions;Cart Detail;No;https://www.pilsenyoyo.cz/kosik/?cast=add
K dosažení limitu poštovného zdarma zbývá nakoupit za: 1420,00 Kč;;Misdirection;Pressured Selling;Cart Detail;No;https://www.topvet.cz/kosik?add_zbozi=914&pocet=1
Obratovou slevu 1% (celkem 1%) získáte při nákupu nad 2.000 Kč. Zbývá nakoupit za: 1921,00 K;;Misdirection;Pressured Selling;Cart Detail;No;https://www.topvet.cz/kosik?add_zbozi=914&pocet=2
  ;User is coercered to register to continue in checkout process;Misdirection;Visual Interference;Checkout Process;No;https://www.topvet.cz/index.php?&desktop=eshop&action=objednavka&id=0
Nakupte ještě za 9 496 Kč a budete mít poštovné zdarma!;;Misdirection;Pressured Selling;Cart Detail;No;https://nej-plot.cz/kosik/
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat naše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://nej-plot.cz/pokladna/
Abyste nehradili poštovné zbývá nakoupit za 2 780 Kč.;;Misdirection;Pressured Selling;Cart Detail;No;http://www.gesprofi.cz/p1814-stativ-stojan-heavy-duty-s-jemnym-nastavenim/
Zbývá nakoupit za2 967,96 Kč bez DPHa můžete mít poštovné zdarma;;Misdirection;Pressured Selling;Product detail;No;https://www.nerezka.cz/vrtak-s-valc-stopk-pr-1-5-221129-07-co
Abyste nehradili poštovné zbývá nakoupit za 98 901 Kč.;;Misdirection;Pressured Selling;Cart Detail;No;http://www.unipraelektro.cz/kosik.html?item=79265
Zbývá nakoupit za1 086,00 Kč s DPHa můžete mít poštovné zdarma;;Misdirection;Pressured Selling;Product detail;No;https://www.lasturka.cz/plysovy-sedaci-polstar-pro-zeny-s-penisem-a-varlaty-damen-sitzkissen
K dopravě ZDARMA vám chybí 1 248 Kč;;Misdirection;Pressured Selling;Product detail;No;https://www.kursport.cz/sram-sram-12a-sl-x5-trigger-10sp-rear-razeni-cerna
Nakupte ještě za 1 248 Kč a máte dopravu zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.kursport.cz/order/cart
K dopravě zdarma zbývá 1 202 Kč;;Misdirection;Pressured Selling;Product detail;No;https://www.vibratory-online.cz/produkt/couples-ring-erekcni-krouzek-s-vibraci/?cartAdded=V13498
Nakoupíte-li ještě zboží za 1 202 Kč, budete mít DOPRAVU ZDARMA!;;Misdirection;Pressured Selling;Cart Detail;No;https://www.vibratory-online.cz/kosik/zbozi/
Nakupte ještě za 1 430 Kč a máte dopravu ZDARMA;;Misdirection;Pressured Selling;Product detail;No;https://www.mmservis-pracky.cz/tesneni-pod-nadobku-dolce-gusta-kp-ms-623712
Nezasílat dotazník spokojenosti v rámci programu ;;Misdirection;Trick Questions;Checkout Process;No;https://www.mmservis-pracky.cz/adresa
Tento dárek dnes zakoupil 1 zákazník;;Social Proof;Activity Message;Product detail;??;https://manboxeo.cz/eshop/detail/8941-dreveny-skladaci-3d-model-kinetic-globe
Tento dárek si právě prohlíží 3 zákazníci;;Social Proof;Activity Message;Product detail;??;https://manboxeo.cz/eshop/detail/8941-dreveny-skladaci-3d-model-kinetic-globe
K dopravě zdarma Vám chybí objednat ještě za 1 121 Kč;;Misdirection;Pressured Selling;Product detail;No;https://manboxeo.cz/eshop/detail/8941-dreveny-skladaci-3d-model-kinetic-globe?added=2139070&amount=1&xs=0&code=f14a6043a83240b7
K dopravě zdarma (WE|DO Uloženka) pro registrované zbývá 1 635 Kč;;Misdirection;Pressured Selling;Product detail;No;https://www.fnshp.cz/mariasove-karty-acs-rude-dres_z26802/#64752
Nesouhlasím se zasláním dotazníku spokojenosti, který pomáhá zlepšovat naše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://www.fnshp.cz/kosik/kontakt/
K DOPRAVĚ ZDARMA ZBÝVÁ 1 910 KČ;;Misdirection;Pressured Selling;Product detail;No;https://www.bikeporn.cz/joe-s-bezdusovy-set-tubeless-ready-kit-eco-sealant-48-21mm_z802/
Nesouhlasím se zasláním dotazníku spokojenosti, který pomáhá zlepšovat naše služby.;;Misdirection;Trick Questions;Checkout Process;No;https://www.bikeporn.cz/kosik/doprava-platba/
Náš tip: K dopravě zdarma Vám chybí jen 1 235 Kč;;Misdirection;Pressured Selling;Product detail;No;https://www.mujlekarnik.cz/reparil-dragees-20mg-tbl-ent-100-30230661_detail/
Doporučujeme ještě přikoupit;;Misdirection;Pressured Selling;Product detail;No;https://www.mujlekarnik.cz/reparil-dragees-20mg-tbl-ent-100-30230661_detail/
Do dopravy zdarma zbývá 1 318 Kč!   Návrat do eshopu →;;Misdirection;Pressured Selling;Product detail;No;https://pravaja.cz/kosik/
Do dopravy zdarma zbývá 636 Kč!;;Misdirection;Pressured Selling;Product detail;No;https://pravaja.cz/produkt/osvezujici-odlicovaci-olej-pravaja-100-ml/
Speciální akce: -34% končí za: 17d: 16h: 29m;The discount is lower by 5 % after the timer is gone;Urgency;Countdown Timer;Product detail;No;https://www.f-mobil.cz/p/hodinky-huawei-watch-gt-2-42mm-rose-gold-milanese-reminek
Pospěšte si! Lidé před Vámi si už vytočili 99 % z celkového počtu odměn!;The percentage is still the safe after a month;Scarcity;High-demand Message;Product detail;Yes;https://www.suplementy.cz/akce-1-1-zdarma/allnature-2x-spanek-bylinny-lihovy-extrakt-50ml/
"Zákazník z Příbrami
má dokončenou objednávku";;Social Proof;Activity Message;Product detail;??;https://www.suplementy.cz/akce-1-1-zdarma/allnature-2x-spanek-bylinny-lihovy-extrakt-50ml/
platnost vyprší: 11m 42s;There is a countdown timer after winning the discount for 20 minutes;Urgency;Countdown Timer;Product detail;No;https://www.suplementy.cz/akce-1-1-zdarma/allnature-2x-spanek-bylinny-lihovy-extrakt-50ml/
Objednejte ještě za 811 Kč a budete mít dopravu ZDARMA.;;Misdirection;Pressured Selling;Product detail;No;https://www.suplementy.cz/akce-1-1-zdarma/allnature-2x-spanek-bylinny-lihovy-extrakt-50ml/
Dejte tomuto zboží druhou šanci od 5 679 Kč;Giving a discount to user if he watched the product before and might reconsider to buy the product with the discount;Misdirection;Pressured Selling;Product detail;No;https://www.czc.cz/xiaomi-redmi-note-9-pro-6gb-128gb-tropical-green/286834/produkt
Objednejte ještě za 1 631 Kč a budete mít dopravu ZDARMA.;Deceptive because it claims free delivery of the product, but pressures use;Misdirection;Pressured Selling;Cart Detail;Yes;https://www.czc.cz/kosik
Zákazníci spolu s tímto produktem ještě zakoupili:;;Social Proof;Activity Message;Product detail;??;https://www.jumboshop.cz/8174-led-celovka-boruit-rj-3000-vodeodolna
Máme pro Vás mimořádnou nabídku. Níže uvedené produkty jsme jen pro Vás zlevnili.;Partially deceptive - the discount is less lower from the actual advertised price;Misdirection;Pressured Selling;Cart Page;Yes;https://www.jumboshop.cz/?route=checkout/cart
" Nakupte ještě za 1430 Kč
a máte DOPRAVU za 99 Kč (místo 150 Kč).";In a popup;Misdirection;Pressured Selling;;No;https://www.bonfood.cz/losos-obecny-steak-filet-bez-kosti-150-g
Počet lidí prohlížejících si produkt: 6;;Social Proof;Activity Message;Product detail;Yes;https://www.cool-ceny.cz/elektricky-zastrihovac-na-domaci-mazlicky-pet-clipper-3460
Naposled zakoupil/a: A. V.;;Social Proof;Activity Message;Product detail;Yes;https://www.cool-ceny.cz/elektricky-zastrihovac-na-domaci-mazlicky-pet-clipper-3460
Zákazníci kupující toto zboží zakoupili také;;Social Proof;Activity Message;Cart Detail;??;https://www.cool-ceny.cz/added/elektricky-zastrihovac-na-domaci-mazlicky-pet-clipper-3460
Nakupte ještě za 651 Kč a máte dopravu zdarma!;;Misdirection;Pressured Selling;Cart Detail;No;https://www.cool-ceny.cz/added/elektricky-zastrihovac-na-domaci-mazlicky-pet-clipper-3460
Do dopravy zdarma vám zbývá nakoupit za 2722 Kč!;;Misdirection;Pressured Selling;Product detail;No;https://www.alkohouse.cz/vinarstvi-babicek-vacenovsky/babicek-vacenovsky-frankovka-klaret-2015
Nakupte ještě za 1 269 Kč vč. DPH z patra Baterie Mobile Energy a získáte dopravu ZDARMA!;;Misdirection;Pressured Selling;Product detail;No;https://www.vtdata.cz/ac-adapter-duracell-pro-cyber-shot-sony-dsc-t9-super-steady-shot
NABÍDKA JE ČASOVĚ OMEZENÁ!;Hardcoded limited time offer;Urgency;Limited-Time Message;Product detail;Yes;https://www.perfect-dress.eu/modni-bavlneny-kabat-modry-trenckot-s-paskem-a-prezkami-h-b38r80213/
;Preselected the most expensive variation;Misdirection;Pressured Selling;Product detail;No;https://www.fotokeramika.cz/ozdoby-na-hroby/sochy-jezise-krista/383-1004-kristus-na-krizi
Nakupte ještě za 2 401 Kč a získejte 2% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.drvet.cz/audevard/balsamic-control/
Nakupte ještě za 1 045 Kč a získejte 2% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.dejmunej.cz/natures-menu-home-prepare-barf-mlete-jehneci-a-kureci/
Nakupte ještě za 1 001 Kč a získejte 10% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.volchem.cz/volchem-bruciagrassi-fat-burner-210-tablet/
Nakupte ještě za 7 783 Kč a získejte 2% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.4doors.cz/dverni-rozetove-kovani-twin-leko-club-ba-1102-ni-sat/
Nakupte ještě za 1 810 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.krumlovanka.cz/damska-lnena-cepice-s-ksiltem-krumlovanka-437057-svetle-seda/
Nakupte ještě za 1 702 Kč a získejte 8% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.aromaoils.cz/altevita-smes-esencialnich-oleju-astro-stir--scorpio--10ml/
Nakupte ještě za 9 174 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.perfect-dress.eu/bile-prodysne-tenisky-s-tkanickami-sitovane-panske-boty-ruzne-barvy/
Nakupte ještě za 1 032 Kč a získejte 17% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.eternalcomplex.cz/maltodextrin-bez-prichute--doza-1300g-/
Nakupte ještě za 1 187 Kč a získejte 3% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.eshopflocker.cz/414-pletena-fleece-mikina-panska/
Nakupte ještě za 2 571 Kč a získejte 2% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.detailingshop.cz/auto-finesse-dressle-all-purpose-dressing-500ml-sealant-na-plasty/
Nakupte ještě za 4 951 Kč a získejte 4% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.carpcentrum.cz/rohlikove-boilies/rohlikove-boilie-50ml-monster-halibut/
Nakupte ještě za 2 210 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured Selling;Product detail;No;https://www.curaloe.cz/vyhodna-baleni/sampon-a-kondicioner/
Nakupte ještě za 2 971 Kč a získejte 1% slevu navíc.;;Misdirection;Pressured selling;Product detail;No;https://www.bfap-store.cz/ffl-cat-tin-sterilized-salmon-415g/
Nakupte ještě za 5 310 Kč a získejte 7% slevu navíc.;;Misdirection;Pressured selling;Product detail;No;https://www.razak-shop.cz/ochranna-samolepka-4x4-cm-epow-8-2-mhz--barcode-deaktivovatelna--frozen/
Nakupte ještě za 1 466 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured selling;Product detail;No;https://www.piratskyobchod.cz/vybaveni-na-palubu/antiskenovaci-obal-na-platebni-kartu/
Nakupte ještě za 4 999 Kč a získejte 5% slevu navíc.;;Misdirection;Pressured selling;Product detail;No;https://www.partykostym.cz/klipy-na-balonky-zafixovani-nafouknutych-balonku/
Nakupte ještě za 1 601 Kč s DPH64,82 € a vyberte si z našich dárků.;;Misdirection;Pressured selling;Product detail;No;https://www.novacig.cz/joyetech-ex-hlava-nahradni-atomizer-pro-radu-exceed
Nakupte ještě za 552 Kč a máte dopravu ZDARMA!;;Misdirection;Pressured selling;Product detail;No;https://shop.pejskar.cz/royal-canin-cat-outdoor-7-granule-pro-starnouci-kocky-s-castym-pohybem-venku-400g-2100555/
