Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page;Domain
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://eshop.sklo-porcelan-igdz.cz/detske-soupravy/1845-detska-souprava-krtecek-2613200.html;eshop.sklo-porcelan-igdz.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://eshop.textil-parik.cz/panske-spodni-pradlo/2778-165520-808-slip-s-nohavickou-sedomodre-pruhy-8596241064878.html;eshop.textil-parik.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://evashop.cz/plynove-kartuse-mini-autogenyletlampy/2820-novacet-plus-plynova-kartuse-220g-8004220012999.html;evashop.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://govindabutik.cz/shop/kantimaly-drevene-koralky/634-jednorada-kantimala.html;govindabutik.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://ka-shop.kalmont.cz/index.php?id_category=61&controller=category;ka-shop.kalmont.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://kitchenaid-shop.cz/prislusenstvi/128-kitchenaid-plochy-slehac-se-sterkou-5kfe7t-5413184690106.html;kitchenaid-shop.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://ledzarovky.top/ostatni/22-led-4w-r7s-nahrada-male-halogenove-trubice-36xsmd2835-78mm-ccd-neutralni.html;ledzarovky.top
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://luxury-shop.cz/apricity/6264-porcelanovy-dezertni-talir-wild-apricity-sedy-kvetinovy-5234509.html;luxury-shop.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://matrace-market.cz/cs/tastickove-matrace/268-tastickova-matrace-zeus-aloe-vera-21cm-.html;matrace-market.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://mcusta-zanmai.cz/classic-pro-damascus-flame/1494-hfr-8005d-classic-pro-flame-nuz-sefkucharsky-gyuto-21cm-mcusta-zanmai-4964496961053.html;mcusta-zanmai.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://mirta-prirodnikosmetika.cz/pletove-kremy-a-masky/18-pletovy-krem-slamenka-50-ml;mirta-prirodnikosmetika.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://nacestekezdravi.cz/superpotraviny/20-moringa-62-g-8594173360204.html;nacestekezdravi.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://nadrze.navsechno.cz/sverne-spojky/37-plastova-sverna-spojka-tvarovka-32x32mm-koleno.html;nadrze.navsechno.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://nanomedea.cz/nano-ochrana-povrchu/11-nano-impregnace-textil-kuze-500ml.html;nanomedea.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://nova-shop.eu/produkty/527-psyllium-linia-8586004731475.html;nova-shop.eu
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://profinails.cz/nastroje-a-pomucky/9-vata-bunicitadelena-40x50mm2x500-ks.html;profinails.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://protiskluzu.cz/bazenove-koupelnove-a-sanitarni-rohoze-do-mokra/377-protiskluzova-podlozka-do-vany-96x34-cm.html;protiskluzu.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://spiritobchod.cz/symboly-vychodu/privesek-ruka-fatimy-836.html;spiritobchod.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://taidea.cz/kombinovane-zrnitosti/5014-kombinovany-1000-6000-brusny-kamen-taidea-tg2015-6951258920159.html;taidea.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://usumce.cz/home/184383-hacek-aquazona-kentaur-velikost-3-0-baleni-10-ks-8595114803989.html;usumce.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.aaaautokosmetika.cz/autokosmetika-%C4%8Di%C5%A1t%C4%9Bn%C3%AD-interi%C3%A9ru/404-autokosmetika-vinet-vyj%C3%ADme%C4%8Dn%C4%9B-%C3%BA%C4%8Dinn%C3%BD-v%C3%ADce%C3%BA%C4%8Delov%C3%BD-%C4%8Disti%C4%8D-750ml-8002424002020.html;www.aaaautokosmetika.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.allbags.cz/cs/detske-penezenky/102-detska-textilni-penezenka-minnie-mouse-disney.html;www.allbags.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://www.amelieshop.cz/norimbersky-punc/11-norimbersky-punc.html;www.amelieshop.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://www.asspet.cz/sici-nite/5-100-bavlnena-sici-prize-v-nejvyssi-kvalite-tkt-90-navin-1000yard.html;www.asspet.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.daganet.cz/fotopozadi-a-fotostoly/753-jyc-fotograficke-pozadi-16-x-5-m-bila.html;www.daganet.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.dudushop.eu/kojici-tricka-kratky-rukav/322-anicka-kojici-a-tehotenska-tunika-do-a-kratky-rukav-syte-ruzova.html;www.dudushop.eu
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.etabak.com/raw-bfk/200raw-classic-slim-ks-cigaretove-papirky-716165177357.html;www.etabak.com
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.farmbox.cz/testoviny/2329-celesta-campanelle-250g.html;www.farmbox.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://www.floppy.cz/index.php?id_product=33&controller=product;www.floppy.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.hardtopshop.cz/mercedes-trida-x/hardtop-mercedes-x-class-model-profi-rox.html;www.hardtopshop.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.ivdtesty.cz/test-z-moci/59-test-na-drogy-surescreen-met-test-strip-testovaci-prouzek-na-metamfetamin-pervitin.html;www.ivdtesty.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.karonnabytek.cz/koupelnovy-nabytek/221-skladaci-a-pojizdny-policovy-stojan-alu.html;www.karonnabytek.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.levne-ploty.cz/index.php?id_product=112&controller=product;www.levne-ploty.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.malycipisek.cz/polodupacky/38700-vel62-80-polodupacky-ruzove.html;www.malycipisek.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.morelega.cz/lego-76159-super-heroes-pronasledovani-jokera-na-trikolce-10556.html;www.morelega.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.nanowax.cz/cs/mikrovlaknove-aplikatory/434-workhorse-gray-premium-grade-microfiber-applicator-pro-presneefektivni-nanaseni-voskuimpregnacnichlesticich-pripravku-chemical-guys.html;www.nanowax.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.olejnadrevo.cz/prirodni-olej-hyperticus-bio-lneny-olej-s-vcelim-voskem/68-bull-blood-616.html;www.olejnadrevo.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.parfemyessens.eu/parfemy-damske/433-essens-w107-8595603510220.html;www.parfemyessens.eu
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.pmaqualog.cz/prirodni-etericke-oleje/322-prirodni-etericky-olej-purelia-cedrove-drevo.html;www.pmaqualog.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.reviznipristroje.cz/sdruzene-revizni-pristroje/835-eurotest-xd-mi-3155-eu-pristroj-pro-kontrolu-a-revizi-instalaci.html?search_query=3155&results=21;www.reviznipristroje.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://www.satzona.cz/elektro-technika/18759-3d-gumove-koberce-mersedes-benz-v-class-2014--w447-3-gen-5-dveri-evropa-2ks-sixtol-8594196534408.html;www.satzona.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.stickersbomb.cz/stickers-bomb-folie/96-stickers-bomb-folie-1a.html;www.stickersbomb.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.stolnipocitace.cz/ostatni-prislusenstvi/118358-automobilova-diagnosticka-jednotka-pro-obd-ii-s-bluetooth-ekvelm-327-pro-android-a-windows-phone.html;www.stolnipocitace.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.testeryparfemu.cz/panske-testery/671-giorgio-armani-acqua-di-gio-pour-homme-edt-100ml-tester-3360372728313.html;www.testeryparfemu.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.vojenskeponozky.cz/25-ponozky-97-modre-vojenske-knitva.html;www.vojenskeponozky.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.wolfberry.cz/opalovaci-sprej-sensitiv-spf-20-bio-100-ml-lavera.html;www.wolfberry.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://www.zaparkacek.cz/mobily-prislusenstvi/72-usb-kabel-na-nabijeni-mobilu-se-sviticimi-konektory.html;www.zaparkacek.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;http://zakoupit.cz/herni-tricka/126-playerunknowns-battlegrounds-tricko.html;zakoupit.cz
ZÁKAZNÍCI, KTEŘÍ SI KOUPILI TENTO PRODUKT, KOUPILI TAKÉ:;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://zelifishing.cz/slunecni-bryle/661-slunecni-bryle-zrcadlove-cerne.html;zelifishing.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://shop.sanima.cz/Termovize-Axion-Key-XM30-d112.htm;shop.sanima.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.acorelle.cz/parfemova-voda-sous-la-canopee-unisex-roll-on-10-ml;www.acorelle.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.all4style.cz/Kabelka-hadi-The-Victoria-Shoulder-Bag-in-Exotic-crossbody-pres-rameno-zlate-doplnky-nova-kolekce-d252.htm;www.all4style.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.as-tex.cz/Pouzdro-na-pistoli-s-dvojim-jistenim-molle-pencott-greenzone-gen-2-d309.htm;www.as-tex.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.belimeusmev.cz/https/www-belimeusmev-cz/belici-pasky-na-zuby-crest-3d-professional-effects-twin-pack-d2-htm-3;www.belimeusmev.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.centrobal.cz/Lepici-paska-transparent-MUROLL-48-mm-Hotmelt-d251.htm;www.centrobal.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.cernobilehracky.cz/cernobila-deka-s-hrazdickou-a-zrcadlovym-panelem-zviratka;www.cernobilehracky.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.chronos-eshop.cz/Boccia-Titanium-prsten-0102-03-vel-65-d16719.htm;www.chronos-eshop.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.diablomoto.cz/Daytona-vyhrivane-rukojeti-gripy-pro-motocykly-22-mm-d890.htm;www.diablomoto.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.dummybear.cz/Balicek-se-SLEVOU-A-DARKEM-Bambilion-Hura-ven-Dalsi-prosim-d39.htm;www.dummybear.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.e-rozvadece.cz/Elektromerovy-rozvadec-RE-1-0-0-OCP-Z-d1.htm;www.e-rozvadece.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.elektro-naradi.cz/Proxxon-THERMOCUT-230-E-tepelna-rezacka-polystyrenu-27080-d334.htm;www.elektro-naradi.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.familydogs.cz/Bouda-pro-psa-drevena-rovna-strecha-L-116x82x79cm-TRIXIE-d4051.htm;www.familydogs.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.kinniecz.cz/Kinnie-0-50-litru-PET-baleni-12-kusu-03-2021-d13.htm;www.kinniecz.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.knauf-centrum.cz/Deska-Knauf-SAFEBOARD-s-ochranou-proti-rentgenovemu-zareni-d849.htm;www.knauf-centrum.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.kockanebopes.cz/Calibra-Joy-Dog-Classic-Duck-Strips-80g-NEW-d244.htm;www.kockanebopes.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.kosmetikamiaka.cz/Eveline-cosmetics-Clean-Your-skin-Lehky-matujici-a-hydratacni-krem-na-oblicej-75-ml-d170.htm;www.kosmetikamiaka.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.lapacehmyzu.cz/Hathor-792-LG-d45.htm;www.lapacehmyzu.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.moreforyou.cz/quattro-for-women-bikini-holici-strojek-1-nahradni-hlavice/;www.moreforyou.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.mostovace.cz/mostovac-na-ovoce-hydraulicky-50-l;www.mostovace.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.muslinablaho.cz/Kakaove-krupinky-bez-lepku-250g-d5.htm;www.muslinablaho.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.ok-snubniprsteny.cz/Luxusni-wolframove-prsteny-s-Lapis-lazuli-d3337.htm;www.ok-snubniprsteny.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.ok-sperky.cz/Damsky-prsten-z-chirurgicke-oceli-R-M7596-d24287.htm;www.ok-sperky.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.pinec.cz/Andro-Fraser-pouzdro-na-1-palku-cervena-d3294.htm;www.pinec.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.pivomil.cz/Darkova-sada-lahev-6-ks-sklenky-SWAROVSKI-se-jmeny-d1277.htm;www.pivomil.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.prokytky.eu/Erba-Prime-60-cm-d3905.htm;www.prokytky.eu
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.prooknaadum.cz/Parapet-venkovni-hlinik-extrudovany-90mm-d21.htm;www.prooknaadum.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.sikulove.cz/mulcovaci-netkana-textilie-cerna-1-6-m-zakaznicky-rozmer;www.sikulove.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.stavebninydk1.cz/mineralni-vata-izolace-knauf-naturoll-pro-039-tl-100-mm;www.stavebninydk1.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.top-podprsenky.cz/Damske-kalhotky-Leilieve-4755-s-krystalkem-Swarovski-2-barvy-d1048.htm;www.top-podprsenky.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.toplatky.cz/dekoracni-latka-Blackout-sire-280cm-d174.htm;www.toplatky.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.turboprovas.cz/Turbodmychadlo-Land-Rover-Evoque-2-2-TD4-110kW-140kW-TURBO-49477-01214-LR065510-REPAS-d2092.htm;www.turboprovas.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.tvadilna.cz/Invertorova-svarecka-MMA-MIG-TIG-250A-MAR-POL-M79365-d440.htm;www.tvadilna.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.vyudime.cz/Dolni-dil-velke-udirny-d12.htm;www.vyudime.cz
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.znackoveoleje.cz/Castrol-EDGE-Professional-LongLife-III-5W-30-1l-d1804.htm;www.znackoveoleje.cz
Zákazníci k tomuto zboží dále nakupují 11;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.adelanet.cz/VELKA-SRDICKOVA-SADA-SWAROVSKI-KRYSTALY-RUZOVE-d108.htm;www.adelanet.cz
Zákazníci k tomuto zboží dále nakupují 11;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.sipkar.cz/SISALOVY-TERC-WINMAU-BLADE-5-DUAL-CORE-d5838.htm;www.sipkar.cz
Zákazníci k tomuto zboží dále nakupují 12;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.elektroservismencik.cz/KENWOOD-STRUHADLO-JULIENNE-NUDLICKY-d2141.htm;www.elektroservismencik.cz
Zákazníci k tomuto zboží dále nakupují 14;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.myci-stroje-vysavace.cz/Profesionalni-vysavac-Ghibli-AS-27IK-d422.htm;www.myci-stroje-vysavace.cz
Zákazníci k tomuto zboží dále nakupují 17;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.antiquanova.cz/7-DNI-ROZKOSE-sada-7-replik-erotickych-zetonu-Rim-1stol-po-Kr-d283.htm;www.antiquanova.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://eshop.cedrops.cz/CEDR-Polstar-zavazovaci-krava-45x43-cm-d404.htm;eshop.cedrops.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.apisdigital.cz/Micro-USB-OTG-redukce-d31.htm;www.apisdigital.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.besta-shop.cz/Flippin-Silikonova-forma-na-livance-volska-oka-a-mini-palacinky-24-cm-d6175.htm;www.besta-shop.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.bijak-shop.cz/Odznak-Nightmare-Before-Christmas-Jack-a-Sally-d715.htm;www.bijak-shop.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.brazilkeratin.cz/https/1789267390-eshop-rychle-cz/conditioner-loss-300-ml-d13-htm-listname-category-listposition-1;www.brazilkeratin.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.dobrekavy.cz/Simon-Levelt-Espresso-Extra-Dark-zrnkova-kava-500-g-d158.htm;www.dobrekavy.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.drzakyastolky.cz/kvalitni-levny-otocny-sklopny-delkove-nastavitelny-drzak-na-monitory-a-televizory-fiber-mounts-fm233;www.drzakyastolky.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.glorystyles.cz/cestovni-sada-pinzet;www.glorystyles.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.jedemesdetmi.cz/Rukavnik-ke-kocarku-rukavice-cerny-Golf-d112.htm;www.jedemesdetmi.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.kovys-moto.com/REGULATOR-ELECTROSPORT-TRIUMPH-BONNEVILLE-01-17-SPEEDMASTER-03-17-THRUXTON-900-04-17-d180.htm;www.kovys-moto.com
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.mladatko.cz/PRONAJEM-Novorozenecka-postylka-polohovatelna-MIMI-Linet-d25.htm;www.mladatko.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.moleskine.cz/Moleskine-Studio-zapisnik-Dinara-Mirtalipova-linkovany-L-d2260.htm;www.moleskine.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.nabytekhejda.cz/nabytek-hejda/eshop/14-1-levitujici-postele/0/5/12-levitujici-postel-Elisa-SMRK;www.nabytekhejda.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.naukahrou.cz/VYJMENOVANA-SLOVA-naucna-laminovana-tabulka-A5-d197.htm;www.naukahrou.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.pricniky.cz/autoboxy/hapro/carver-6-5-antracit;www.pricniky.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.spokojenydomecek.cz/Stan-teepee-pro-deti-se-zviratky-sedo-ruzovy-d125.htm;www.spokojenydomecek.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.vanocnivyzdoba.cz/Svetelny-retez-LED-PL-240-14M-13-tepla-bila-do-ruzova-BK-14m-240-LED-krizovy-konektor-VYPRODEJ-d430.htm;www.vanocnivyzdoba.cz
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured Selling;Product Detail;No;https://www.zahradaspecial.cz/LAVICKA-masivni-Dubova-d179.htm;www.zahradaspecial.cz
